,type,fullnames,model,n_samples,avg_dice,tile_sizes,pixel_sizes,dice_sample_0,dice_sample_1,dice_sample_2,dice_sample_3,dice_sample_4,dice_sample_5,dice_sample_6,dice_sample_7,dice_sample_8,dice_sample_9,dice_sample_10,dice_sample_11,dice_sample_12,dice_sample_13,dice_sample_14,dice_sample_15,dice_sample_16,dice_sample_17,dice_sample_18,dice_sample_19,dice_sample_20,dice_sample_21,dice_sample_22,dice_sample_23,dice_sample_24,dice_sample_25,dice_sample_26,dice_sample_27,dice_sample_28,dice_sample_29
11,base,deeplab_256_25_n2_RESNET50,deeplab,2,0.3843761761079696,256,25,0.516546762589928,0.0214987714987715,0.4176334106728538,0.0258159690208371,0.4284306826178747,0.1233825278030356,0.1515262515262515,0.3422173252732199,0.7635283976630591,0.3428934655479277,0.6194100856327307,0.5259313367421475,0.4564942341756136,0.5826494724501758,0.445966808182169,0.6151616499442586,0.5,0.6994637444625786,0.6672706681766705,0.2077240667469465,0.2580043518806341,0.45867460908414,0.0,0.6384908398331217,0.52984618279317,0.2297311839528227,0.0580502170810942,0.6660502647726317,0.0554903637701624,0.1834016393442623
12,base,deeplab_256_25_n32_RESNET101,deeplab,32,0.3512447709820204,256,25,0.3042446612180332,0.0,0.0383104125736738,0.0627456032983315,0.5319240354043139,0.1345386865195426,0.3554835984795157,0.4605364830555249,0.6483695132447165,0.6072599880739415,0.4354243542435424,0.4397905759162304,0.3474160143905878,0.5669247009148487,0.587201233616037,0.5152467196451672,0.2658227848101265,0.6035402004691832,0.5255226057365094,0.4002148956625007,0.2852087756546355,0.3640743289745354,0.0,0.5958986731001207,0.573729863692689,0.1838739311709419,0.004034065441506,0.3575017946877243,0.1281064614397947,0.2143981680263346
13,base,deeplab_256_25_n32_RESNET50,deeplab,32,0.4997231459431918,256,25,0.5033801352054083,0.0668029993183367,0.2295652173913043,0.0169028963817237,0.6902196435971819,0.1780162842339008,0.3243289993369274,0.6777940560904144,0.8513739781345415,0.7610275426896738,0.5746465372633597,0.6028789161727349,0.3925002686150209,0.6553356282271945,0.7739285714285714,0.6589425287356322,0.5648008068582955,0.7747368421052632,0.855934762911507,0.4588988777248957,0.3428805237315875,0.7343550446998723,0.6556701030927835,0.8134048257372655,0.7394750103073893,0.1905578172987643,0.0,0.5478405076068931,0.1014634146341463,0.2540316387651666
14,base,deeplab_256_25_n8_RESNET101,deeplab,8,0.346451004701052,256,25,0.5173922099562591,0.0158570349861565,0.0868475991649269,0.0,0.371909305427311,0.0598567598927699,0.4712837837837837,0.3410243145369891,0.7009823182711199,0.6940479318095572,0.2448032830760995,0.3636363636363636,0.4486488523725172,0.5119022088784044,0.5939813709099594,0.6024056681496128,0.2857697534459328,0.5711808565978845,0.6356266888380794,0.2514090774250964,0.2112225774446036,0.3005339435545385,0.152135231316726,0.4722399489470325,0.4645787211876546,0.1520928871109376,0.0,0.6792009400705052,0.0891532950689178,0.1038072151718237
15,base,deeplab_256_25_n8_RESNET50,deeplab,8,0.4281718743219554,256,25,0.6795653326265572,0.0991150442477876,0.1826771653543307,0.0146176653106253,0.5863148479427549,0.1818587029195453,0.3588967500283758,0.4408579973187583,0.7818100757913509,0.71350861287398,0.3921176638583464,0.5684830633284241,0.4335564053537284,0.6826908984317749,0.6328396651641983,0.5699034461103697,0.5346250448510944,0.6253308128544424,0.7004878048780487,0.4963782696177062,0.2747191011235955,0.4823663253697383,0.2707034728406055,0.64977856510186,0.6707633374566059,0.1091987216510723,0.0037986704653371,0.4904412251108024,0.0658045506629562,0.1519469910138876
16,base,deeplab_512_10_n128_RESNET101,deeplab,128,0.6074798423386905,512,10,0.6134297038936816,0.2756052141527002,0.774365821094793,0.1664424849300055,0.7202592984820769,0.2327543218085106,0.6197806102056225,0.6232393368286807,0.8777760127084988,0.7526111833386719,0.7218468468468469,0.8507113623075424,0.6626293519154075,0.7605488629775172,0.8593966659476782,0.8714999125585372,0.651685393258427,0.9011992124574906,0.869908584410667,0.3897938578708451,0.548162583518931,0.82793867120954,0.5773254170200736,0.8609324758842444,0.811292432078949,0.185418313474056,0.0860355222421378,0.5839857904085257,0.2234957020057306,0.3243243243243243
17,base,deeplab_512_10_n128_RESNET50,deeplab,128,0.4769503127832165,512,10,0.4075086716996531,0.3519941646911715,0.2197107299024554,0.1297906776839024,0.6237054085155351,0.102819893189773,0.5839127595016246,0.693386839465158,0.838580320804405,0.8029210671787262,0.4642886339482791,0.6176797749133024,0.5582056608673072,0.5528669121514992,0.6796674732277617,0.7012123823004492,0.4251962444205017,0.8041157056882159,0.7199493693775145,0.4592256404257808,0.2869597650240104,0.2489626556016597,0.1925336365359105,0.6102218053075922,0.785026485514541,0.1704194941394201,0.1438873479837849,0.567575498879522,0.1293104476543769,0.4368739169026586
18,base,deeplab_512_10_n2_RESNET101,deeplab,2,0.1500531722999879,512,10,0.3153924393965079,0.0026954177897574,0.0453461848491604,0.0,0.2188193237188119,0.0965915611491526,0.0846895420776703,0.0720799410740941,0.352864186665764,0.1378427444144685,0.2337363779040208,0.1173152125136226,0.1269800223101105,0.1799249335349007,0.0857432504535268,0.2000870619694661,0.1679346688071473,0.0715391163042637,0.3378195633975143,0.30509298650784,0.1684010262027615,0.1948176073912812,0.0509974644787829,0.3103579254930606,0.2128679256423629,0.0131534491396083,0.0,0.3154248829062857,0.0,0.0830803529076937
19,base,deeplab_512_10_n2_RESNET50,deeplab,2,0.3717102295395525,512,10,0.6201121440165265,0.0224144016943169,0.2862288722637849,0.1819906926309131,0.3753118168959753,0.067438511755248,0.3244509328926893,0.3340220615189789,0.7074997486679401,0.0597926267281106,0.2960253765752024,0.5029398954703833,0.5482423269880177,0.5983749136226082,0.6980735551663748,0.692156890007369,0.4065834031242035,0.5870830985537578,0.7522195318805488,0.0,0.2095088997039104,0.4037889307677048,0.2545671641791044,0.58842635197315,0.5158648256153311,0.1560672410282175,0.0297604124147105,0.6332181198627209,0.1414647427171249,0.1576793974716521
20,base,deeplab_512_10_n32_RESNET101,deeplab,32,0.5086261912150405,512,10,0.5844954266006898,0.4539165818921668,0.410556484356341,0.0718995902971971,0.5799729840841017,0.2107114237378684,0.3301788857628597,0.589599059287638,0.7679483946324047,0.64290789964952,0.453467977677385,0.6356272637471189,0.6014838552370337,0.6470438328236493,0.7757191871206123,0.844061551798873,0.6298759432152449,0.7615278483770241,0.7969145061067067,0.3487097795733492,0.4352211016291699,0.5159577911568589,0.3196881091617933,0.7003135632797385,0.6873152136858091,0.2138376868420884,0.0870150025866528,0.6338902832556472,0.1998153742866733,0.3291131345889984
